Species A	Species B	Landmark no	GO type	Scoring metric	Prediction method	kA	kB	Average score	Standard deviation
rat	bakers	500	biological_process	top-1-acc	mundo-munk-knn-weight-0.660	10	10	0.016434743809073133	0.00699549242107383
rat	bakers	500	biological_process	top-1-acc	mundo-munk-knn-weight-0.660	10	20	0.01758540708763219	0.008628859521385738
rat	bakers	500	biological_process	top-1-acc	mundo-munk-knn-weight-0.660	10	30	0.02386106504101065	0.005985036192244077
rat	bakers	500	biological_process	top-1-acc	mundo-munk-knn-weight-0.660	10	40	0.025986527309581897	0.004370277047953873
rat	bakers	500	biological_process	top-1-acc	mundo-munk-knn-weight-0.660	10	50	0.026415135932863616	0.006130881355816656
rat	bakers	500	biological_process	top-1-acc	mundo-munk-knn-weight-0.660	10	100	0.028334220958709196	0.007001465569556888
rat	bakers	500	biological_process	top-1-acc	dsd-knn	20	-1	0.01351035578902128	0.00716336133291316
rat	bakers	500	biological_process	top-1-acc	mundo-munk-knn-weight-0.660	20	10	0.01786867769531262	0.006327322730661406
rat	bakers	500	biological_process	top-1-acc	mundo-munk-knn-weight-0.660	20	20	0.01830746174290953	0.007782427355854442
rat	bakers	500	biological_process	top-1-acc	mundo-munk-knn-weight-0.660	20	30	0.022584741337041466	0.00835822609979362
rat	bakers	500	biological_process	top-1-acc	mundo-munk-knn-weight-0.660	20	40	0.02278904410616481	0.005575052189005822
rat	bakers	500	biological_process	top-1-acc	mundo-munk-knn-weight-0.660	20	50	0.025826517158865407	0.00671866176963245
rat	bakers	500	biological_process	top-1-acc	mundo-munk-knn-weight-0.660	20	100	0.027102515367990732	0.007669553856595453
rat	bakers	500	biological_process	top-1-acc	dsd-knn	30	-1	0.020316015526471252	0.006936072567652496
rat	bakers	500	biological_process	top-1-acc	mundo-munk-knn-weight-0.660	30	10	0.021581838311281378	0.005207685771257621
rat	bakers	500	biological_process	top-1-acc	mundo-munk-knn-weight-0.660	30	20	0.02280336847768465	0.006311975719010521
rat	bakers	500	biological_process	top-1-acc	mundo-munk-knn-weight-0.660	30	30	0.023355237557930307	0.005542613891344848
rat	bakers	500	biological_process	top-1-acc	mundo-munk-knn-weight-0.660	30	40	0.02392985745525254	0.004624395292190329
rat	bakers	500	biological_process	top-1-acc	mundo-munk-knn-weight-0.660	30	50	0.027094414417277855	0.008379657100138667
rat	bakers	500	biological_process	top-1-acc	mundo-munk-knn-weight-0.660	30	100	0.02774767665831331	0.007105630625186049
rat	bakers	500	biological_process	top-1-acc	dsd-knn	40	-1	0.02397756211415546	0.002742780326611457
rat	bakers	500	biological_process	top-1-acc	mundo-munk-knn-weight-0.660	40	10	0.023342901742991938	0.003756563045999306
rat	bakers	500	biological_process	top-1-acc	mundo-munk-knn-weight-0.660	40	20	0.023344976216594263	0.004744816471028209
rat	bakers	500	biological_process	top-1-acc	mundo-munk-knn-weight-0.660	40	30	0.02332222539951768	0.0015241700810319566
rat	bakers	500	biological_process	top-1-acc	mundo-munk-knn-weight-0.660	40	40	0.025734108469690913	0.004819544194219057
rat	bakers	500	biological_process	top-1-acc	mundo-munk-knn-weight-0.660	40	50	0.02839108896987743	0.00691769412874849
rat	bakers	500	biological_process	top-1-acc	mundo-munk-knn-weight-0.660	40	100	0.027113016287149787	0.006123984580961228
rat	bakers	500	biological_process	top-1-acc	dsd-knn	50	-1	0.028759889650532566	0.006060728370636713
rat	bakers	500	biological_process	top-1-acc	mundo-munk-knn-weight-0.660	50	10	0.027538359484129294	0.005425662194521021
rat	bakers	500	biological_process	top-1-acc	mundo-munk-knn-weight-0.660	50	20	0.02881643216685693	0.004762226673835824
rat	bakers	500	biological_process	top-1-acc	mundo-munk-knn-weight-0.660	50	30	0.02766161994109323	0.004030244256125099
rat	bakers	500	biological_process	top-1-acc	mundo-munk-knn-weight-0.660	50	40	0.028737138833455987	0.008696288402506558
rat	bakers	500	biological_process	top-1-acc	mundo-munk-knn-weight-0.660	50	50	0.0253291161213418	0.004928722352153815
rat	bakers	500	biological_process	top-1-acc	mundo-munk-knn-weight-0.660	50	100	0.027697811608787214	0.005576646755435505
rat	bakers	500	biological_process	aupr	dsd-knn	10	-1	0.004365796822041611	0.0015451313099155873
rat	bakers	500	biological_process	aupr	mundo-munk-knn-weight-0.660	10	10	0.00710461999248174	0.001645642601814843
rat	bakers	500	biological_process	aupr	mundo-munk-knn-weight-0.660	10	20	0.009193169089832132	0.00243997245758385
rat	bakers	500	biological_process	aupr	mundo-munk-knn-weight-0.660	10	30	0.011283722794081099	0.0023013680104840054
rat	bakers	500	biological_process	aupr	mundo-munk-knn-weight-0.660	10	40	0.013367581687727708	0.0019510262610496435
rat	bakers	500	biological_process	aupr	mundo-munk-knn-weight-0.660	10	50	0.013773730912620514	0.0018068963503007382
rat	bakers	500	biological_process	aupr	mundo-munk-knn-weight-0.660	10	100	0.016134720878099817	0.0021939671885076264
rat	bakers	500	biological_process	aupr	dsd-knn	20	-1	0.005724663894041861	0.0013197647167721503
rat	bakers	500	biological_process	aupr	mundo-munk-knn-weight-0.660	20	10	0.0073255864628300705	0.001426960119129716
rat	bakers	500	biological_process	aupr	mundo-munk-knn-weight-0.660	20	20	0.009520914682542694	0.0023399462752092324
rat	bakers	500	biological_process	aupr	mundo-munk-knn-weight-0.660	20	30	0.011627137575841292	0.0024721904492893045
rat	bakers	500	biological_process	aupr	mundo-munk-knn-weight-0.660	20	40	0.013344412853661513	0.0023269075637306876
rat	bakers	500	biological_process	aupr	mundo-munk-knn-weight-0.660	20	50	0.014278012899607988	0.0017692574769831552
rat	bakers	500	biological_process	aupr	mundo-munk-knn-weight-0.660	20	100	0.01634489532834973	0.0020668556982894825
rat	bakers	500	biological_process	aupr	dsd-knn	30	-1	0.006841186629838817	0.0013818859993820994
rat	bakers	500	biological_process	aupr	mundo-munk-knn-weight-0.660	30	10	0.00791468552450657	0.0013718308238884484
rat	bakers	500	biological_process	aupr	mundo-munk-knn-weight-0.660	30	20	0.009968843329365899	0.002580153990940279
rat	bakers	500	biological_process	aupr	mundo-munk-knn-weight-0.660	30	30	0.011442432473134095	0.0028002424095967837
rat	bakers	500	biological_process	aupr	mundo-munk-knn-weight-0.660	30	40	0.013440668506552081	0.002352166085864911
rat	bakers	500	biological_process	aupr	mundo-munk-knn-weight-0.660	30	50	0.01428181392063324	0.0020149150906150484
rat	bakers	500	biological_process	aupr	mundo-munk-knn-weight-0.660	30	100	0.016620795253357735	0.002050801843941275
rat	bakers	500	biological_process	aupr	dsd-knn	40	-1	0.007661263763863257	0.0009633258607883985
rat	bakers	500	biological_process	aupr	mundo-munk-knn-weight-0.660	40	10	0.00872568698305452	0.0006595257105421502
rat	bakers	500	biological_process	aupr	mundo-munk-knn-weight-0.660	40	20	0.010672759717029488	0.0017162874303364
rat	bakers	500	biological_process	aupr	mundo-munk-knn-weight-0.660	40	30	0.011850793753857242	0.0017866179320669918
rat	bakers	500	biological_process	aupr	mundo-munk-knn-weight-0.660	40	40	0.014107892080696034	0.0018861362483666004
rat	bakers	500	biological_process	aupr	mundo-munk-knn-weight-0.660	40	50	0.014672112800289563	0.001601164780292487
rat	bakers	500	biological_process	aupr	mundo-munk-knn-weight-0.660	40	100	0.01683895360172275	0.0018264022369277213
rat	bakers	500	biological_process	aupr	dsd-knn	50	-1	0.008013879314720699	0.00086982264309768
rat	bakers	500	biological_process	aupr	mundo-munk-knn-weight-0.660	50	10	0.008981670907458822	0.0008659229494138539
rat	bakers	500	biological_process	aupr	mundo-munk-knn-weight-0.660	50	20	0.011055462088987281	0.0014941962071684247
rat	bakers	500	biological_process	aupr	mundo-munk-knn-weight-0.660	50	30	0.012687140765104599	0.0017862386857864082
rat	bakers	500	biological_process	aupr	mundo-munk-knn-weight-0.660	50	40	0.014779194745758164	0.0018141442376479859
rat	bakers	500	biological_process	aupr	mundo-munk-knn-weight-0.660	50	50	0.014990131115756372	0.001588140379943547
rat	bakers	500	biological_process	aupr	mundo-munk-knn-weight-0.660	50	100	0.017213664160958604	0.0017123548633575434
rat	bakers	500	biological_process	auc	dsd-knn	10	-1	0.38414988725249977	0.022066292106040015
rat	bakers	500	biological_process	auc	mundo-munk-knn-weight-0.660	10	10	0.5132354225412773	0.0036548353273460348
rat	bakers	500	biological_process	auc	mundo-munk-knn-weight-0.660	10	20	0.5210722313523595	0.004236217392589359
rat	bakers	500	biological_process	auc	mundo-munk-knn-weight-0.660	10	30	0.5280911235352225	0.005776135390755953
rat	bakers	500	biological_process	auc	mundo-munk-knn-weight-0.660	10	40	0.5331570280716391	0.006648658585121375
rat	bakers	500	biological_process	auc	mundo-munk-knn-weight-0.660	10	50	0.5378903463791216	0.005475772574197059
rat	bakers	500	biological_process	auc	mundo-munk-knn-weight-0.660	10	100	0.551881598441823	0.007838136290667385
rat	bakers	500	biological_process	auc	dsd-knn	20	-1	0.47953690857846115	0.014316338947135765
rat	bakers	500	biological_process	auc	mundo-munk-knn-weight-0.660	20	10	0.5180556883600316	0.0028826337521570336
rat	bakers	500	biological_process	auc	mundo-munk-knn-weight-0.660	20	20	0.5257514129079512	0.0031247950168551745
rat	bakers	500	biological_process	auc	mundo-munk-knn-weight-0.660	20	30	0.5326805887802069	0.004780385567200267
rat	bakers	500	biological_process	auc	mundo-munk-knn-weight-0.660	20	40	0.5376791438460204	0.005602076956822275
rat	bakers	500	biological_process	auc	mundo-munk-knn-weight-0.660	20	50	0.5420093357269239	0.004722978196467722
rat	bakers	500	biological_process	auc	mundo-munk-knn-weight-0.660	20	100	0.5557294927611058	0.00741827032003458
rat	bakers	500	biological_process	auc	dsd-knn	30	-1	0.5116276302191997	0.003458554732684232
rat	bakers	500	biological_process	auc	mundo-munk-knn-weight-0.660	30	10	0.5224341754582028	0.0027032774535727133
rat	bakers	500	biological_process	auc	mundo-munk-knn-weight-0.660	30	20	0.5301008663540292	0.0034022363617552845
rat	bakers	500	biological_process	auc	mundo-munk-knn-weight-0.660	30	30	0.5370242528893785	0.005261203619410321
rat	bakers	500	biological_process	auc	mundo-munk-knn-weight-0.660	30	40	0.5416251100769744	0.005888568876488576
rat	bakers	500	biological_process	auc	mundo-munk-knn-weight-0.660	30	50	0.5457648874137476	0.005223936803207061
rat	bakers	500	biological_process	auc	mundo-munk-knn-weight-0.660	30	100	0.5590061297236257	0.007514019708892964
rat	bakers	500	biological_process	auc	dsd-knn	40	-1	0.5198550807370028	0.002418502897970912
rat	bakers	500	biological_process	auc	mundo-munk-knn-weight-0.660	40	10	0.5263034932914641	0.003387052434499057
rat	bakers	500	biological_process	auc	mundo-munk-knn-weight-0.660	40	20	0.5336757893548298	0.0036162677955641495
