Species A	Species B	SVD embedding	Landmark no	GO type	Scoring metric	Prediction method	kA	kB	Average score	Standard deviation
rat	bakers	250	50	biological_process	auc	mundo4-knn-weight-0.660	20	50	0.5273877778882702	0.0020954519632889685
rat	bakers	250	50	biological_process	auc	mundo4-knn-weight-0.660	20	100	0.5430953303443626	0.0025184387640036425
rat	bakers	250	50	biological_process	auc	mundo4-knn-weight-0.660	30	10	0.5205576531118361	0.0020186259136183663
rat	bakers	250	50	biological_process	auc	mundo4-knn-weight-0.660	30	20	0.5237820552502227	0.0016640669285722946
rat	bakers	250	50	biological_process	auc	mundo4-knn-weight-0.660	30	30	0.5275920391134286	0.0010344656855350042
rat	bakers	250	50	biological_process	auc	mundo4-knn-weight-0.660	30	40	0.5291122387719513	0.0010953026607882694
rat	bakers	250	50	biological_process	auc	mundo4-knn-weight-0.660	30	50	0.5307892654077538	0.001322802726801062
rat	bakers	250	50	biological_process	auc	mundo4-knn-weight-0.660	30	100	0.5460465453684773	0.0028664185264321387
rat	bakers	250	50	biological_process	auc	mundo4-knn-weight-0.660	40	10	0.5246441897357774	0.003057776950097327
rat	bakers	250	50	biological_process	auc	mundo4-knn-weight-0.660	40	20	0.5278359182278709	0.003089546113271336
rat	bakers	250	50	biological_process	auc	mundo4-knn-weight-0.660	40	30	0.5316206536861178	0.0020543841271973757
rat	bakers	250	50	biological_process	auc	mundo4-knn-weight-0.660	40	40	0.5331445869844864	0.0019563937502126106
rat	bakers	250	50	biological_process	auc	mundo4-knn-weight-0.660	40	50	0.5346564294490808	0.0014976959436412906
rat	bakers	250	50	biological_process	auc	mundo4-knn-weight-0.660	40	100	0.5488287136091072	0.003824517515866787
rat	bakers	250	50	biological_process	auc	mundo4-knn-weight-0.660	50	10	0.5288486923657058	0.0027472545577733273
rat	bakers	250	50	biological_process	auc	mundo4-knn-weight-0.660	50	20	0.5320450066583655	0.0031019488750809354
rat	bakers	250	50	biological_process	auc	mundo4-knn-weight-0.660	50	30	0.5358347566196192	0.0022046085228864636
rat	bakers	250	50	biological_process	auc	mundo4-knn-weight-0.660	50	40	0.5372813453644701	0.001880548544790297
rat	bakers	250	50	biological_process	auc	mundo4-knn-weight-0.660	50	50	0.538751367560484	0.0015208207992420178
rat	bakers	250	50	biological_process	auc	mundo4-knn-weight-0.660	50	100	0.5519650053410202	0.00440472949772072
rat	bakers	250	50	biological_process	f1max	mundo4-knn-weight-0.660	10	10	0.02068667277362632	0.0035844821490681597
rat	bakers	250	50	biological_process	f1max	mundo4-knn-weight-0.660	10	20	0.022717401191892916	0.0032698723160673464
rat	bakers	250	50	biological_process	f1max	mundo4-knn-weight-0.660	10	30	0.02662999783757202	0.0037592912597535686
rat	bakers	250	50	biological_process	f1max	mundo4-knn-weight-0.660	10	40	0.025552596275927587	0.0034202045470418233
rat	bakers	250	50	biological_process	f1max	mundo4-knn-weight-0.660	10	50	0.026649303565656292	0.0035539346754225104
rat	bakers	250	50	biological_process	f1max	mundo4-knn-weight-0.660	10	100	0.03401427422636545	0.004005894114603064
rat	bakers	250	50	biological_process	f1max	mundo4-knn-weight-0.660	20	10	0.025310219354357538	0.0035687197551947797
rat	bakers	250	50	biological_process	f1max	mundo4-knn-weight-0.660	20	20	0.026797144452319344	0.003424863116957954
rat	bakers	250	50	biological_process	f1max	mundo4-knn-weight-0.660	20	30	0.030184581540654766	0.003606039824022817
rat	bakers	250	50	biological_process	f1max	mundo4-knn-weight-0.660	20	40	0.02916166400898305	0.003296517209132165
rat	bakers	250	50	biological_process	f1max	mundo4-knn-weight-0.660	20	50	0.029950010630279487	0.0032134101312302813
rat	bakers	250	50	biological_process	f1max	mundo4-knn-weight-0.660	20	100	0.0365612218224033	0.00352512445664155
rat	bakers	250	50	biological_process	f1max	mundo4-knn-weight-0.660	30	10	0.02829346546502336	0.003240737456028518
rat	bakers	250	50	biological_process	f1max	mundo4-knn-weight-0.660	30	20	0.029783835894725996	0.0035753130378901113
rat	bakers	250	50	biological_process	f1max	mundo4-knn-weight-0.660	30	30	0.03257592860368459	0.003540014622395738
rat	bakers	250	50	biological_process	f1max	mundo4-knn-weight-0.660	30	40	0.031717227576604994	0.0032301506421446315
rat	bakers	250	50	biological_process	f1max	mundo4-knn-weight-0.660	30	50	0.03248238182203472	0.0033468232386418117
rat	bakers	250	50	biological_process	f1max	mundo4-knn-weight-0.660	30	100	0.03844308687858104	0.0037694323672089014
rat	bakers	250	50	biological_process	f1max	mundo4-knn-weight-0.660	40	10	0.03095646712682499	0.0027132511861223487
rat	bakers	250	50	biological_process	f1max	mundo4-knn-weight-0.660	40	20	0.03228254642402954	0.003229581861347483
rat	bakers	250	50	biological_process	f1max	mundo4-knn-weight-0.660	40	30	0.03509982801079632	0.003051205604670818
rat	bakers	250	50	biological_process	f1max	mundo4-knn-weight-0.660	40	40	0.034239646051372453	0.0029295442677944486
rat	bakers	250	50	biological_process	f1max	mundo4-knn-weight-0.660	40	50	0.034995029879833814	0.0028870798167722656
rat	bakers	250	50	biological_process	f1max	mundo4-knn-weight-0.660	40	100	0.040425442694637534	0.003660788697883417
rat	bakers	250	50	biological_process	f1max	mundo4-knn-weight-0.660	50	10	0.03249755329711412	0.0026859700523251535
rat	bakers	250	50	biological_process	f1max	mundo4-knn-weight-0.660	50	20	0.033709029260745635	0.0033536847031780414
