Species A	Species B	SVD embedding	Landmark no	GO type	Scoring metric	Prediction method	kA	kB	Average score	Standard deviation
rat	bakers	250	500	biological_process	aupr	mundo4-knn-weight-0.800	40	100	0.013004929114733855	0.0013230366369608114
rat	bakers	250	500	biological_process	aupr	dsd-knn	50	-1	0.007790444708188957	0.0009651800180601281
rat	bakers	250	500	biological_process	aupr	mundo4-knn-weight-0.800	50	10	0.008810098054803043	0.0008008340653987575
rat	bakers	250	500	biological_process	aupr	mundo4-knn-weight-0.800	50	20	0.010402785333807481	0.0017020962597459755
rat	bakers	250	500	biological_process	aupr	mundo4-knn-weight-0.800	50	30	0.011518025415290229	0.0017714493799922987
rat	bakers	250	500	biological_process	aupr	mundo4-knn-weight-0.800	50	40	0.01330627957109715	0.0006582191379893592
rat	bakers	250	500	biological_process	aupr	mundo4-knn-weight-0.800	50	50	0.01384930980578146	0.0009546641560102994
rat	bakers	250	500	biological_process	aupr	mundo4-knn-weight-0.800	50	100	0.013281764316589095	0.0013678933243482304
rat	bakers	250	500	biological_process	auc	dsd-knn	10	-1	0.38415033913485874	0.022065197743904558
rat	bakers	250	500	biological_process	auc	mundo4-knn-weight-0.800	10	10	0.5147686016323665	0.0031670589775185947
rat	bakers	250	500	biological_process	auc	mundo4-knn-weight-0.800	10	20	0.5187323050571725	0.004556868976243736
rat	bakers	250	500	biological_process	auc	mundo4-knn-weight-0.800	10	30	0.5256873937385568	0.004765977385559513
rat	bakers	250	500	biological_process	auc	mundo4-knn-weight-0.800	10	40	0.5315383763160099	0.0032911078121095143
rat	bakers	250	500	biological_process	auc	mundo4-knn-weight-0.800	10	50	0.5345307939923989	0.0038118142035923567
rat	bakers	250	500	biological_process	auc	mundo4-knn-weight-0.800	10	100	0.543725840403164	0.0044968580363498835
rat	bakers	250	500	biological_process	auc	dsd-knn	20	-1	0.4795364608797166	0.014316633085279766
rat	bakers	250	500	biological_process	auc	mundo4-knn-weight-0.800	20	10	0.519522363854989	0.003090541098099871
rat	bakers	250	500	biological_process	auc	mundo4-knn-weight-0.800	20	20	0.5232805500989726	0.0037043632738066232
rat	bakers	250	500	biological_process	auc	mundo4-knn-weight-0.800	20	30	0.5300808326419914	0.003553082321435589
rat	bakers	250	500	biological_process	auc	mundo4-knn-weight-0.800	20	40	0.5357980616720572	0.002266281492800213
rat	bakers	250	500	biological_process	auc	mundo4-knn-weight-0.800	20	50	0.5386968425807579	0.0029150747009951787
rat	bakers	250	500	biological_process	auc	mundo4-knn-weight-0.800	20	100	0.5473683227002074	0.0037143950757103734
rat	bakers	250	500	biological_process	auc	dsd-knn	30	-1	0.5116278858452126	0.0034660003882305136
rat	bakers	250	500	biological_process	auc	mundo4-knn-weight-0.800	30	10	0.5237477617957149	0.0028043135000461387
rat	bakers	250	500	biological_process	auc	mundo4-knn-weight-0.800	30	20	0.527424514739699	0.00398457268509801
rat	bakers	250	500	biological_process	auc	mundo4-knn-weight-0.800	30	30	0.5338693759273269	0.003845434813760262
rat	bakers	250	500	biological_process	auc	mundo4-knn-weight-0.800	30	40	0.5392829464748408	0.002501613036595187
rat	bakers	250	500	biological_process	auc	mundo4-knn-weight-0.800	30	50	0.5421642938663509	0.0030817568369357878
rat	bakers	250	500	biological_process	auc	mundo4-knn-weight-0.800	30	100	0.5505261129337594	0.004024274199464091
rat	bakers	250	500	biological_process	auc	dsd-knn	40	-1	0.5198530082485515	0.0024197136657229863
rat	bakers	250	500	biological_process	auc	mundo4-knn-weight-0.800	40	10	0.5279865903739926	0.0037161862234469335
rat	bakers	250	500	biological_process	auc	mundo4-knn-weight-0.800	40	20	0.5311914134118757	0.005447131411734117
rat	bakers	250	500	biological_process	auc	mundo4-knn-weight-0.800	40	30	0.5372206217541329	0.004953630442624034
rat	bakers	250	500	biological_process	auc	mundo4-knn-weight-0.800	40	40	0.5425579572295535	0.003530430958980197
rat	bakers	250	500	biological_process	auc	mundo4-knn-weight-0.800	40	50	0.545328402469147	0.0038028223787342505
rat	bakers	250	500	biological_process	auc	mundo4-knn-weight-0.800	40	100	0.5531660580137063	0.005043333029990463
rat	bakers	250	500	biological_process	auc	dsd-knn	50	-1	0.5243144706950803	0.0021109686409592054
