From	To
P40549	4932.YIL014W
Q13155	9606.ENSP00000223029
P32460	4932.YIR030C
Q07622	4932.YDL203C
P50090	4932.YGR238C
Q08681	4932.YOR248W
P32465	4932.YHR094C
Q06651	4932.YDR313C
P53196	4932.YGL004C
P39982	4932.YEL059W
Q12350	4932.YPR061C
P38851	4932.YHR155W
P53178	4932.YGL047W
Q07915	4932.YLR009W
P21538	4932.YBR049C
Q08226	4932.YOL063C
P43583	4932.YFL007W
P38231	4932.YBR047W
Q92317	4932.YDR397C
P54005	4932.YMR316W
P11972	4932.YLR452C
P38689	4932.YHL011C
P42945	4932.YJL109C
Q04412	4932.YDR524C
Q12365	4932.YPL255W
P52893	4932.YLR089C
Q08235	4932.YOL077C
Q07800	4932.YLL010C
Q99216	4932.YOR145C
P87262	4932.YER056C-A
P32385	4932.YLL046C
P40422	4932.YHR143W-A
P53200	4932.YGR001C
P53865	4932.YNL225C
P12904	4932.YGL115W
P84077	9606.ENSP00000440005
P53867	4932.YNL223W
P38157	4932.YBR297W
P53107	4932.YGL164C
Q02207	4932.YKR009C
P53193	4932.YGL018C
Q06636	4932.YDR302W
P33302	4932.YOR153W
Q12198	4932.YLL058W
P38630	4932.YOR217W
P40525	4932.YIL052C
Q04458	4932.YMR110C
P09064	4932.YPL237W
P19516	4932.YPL132W
P50076	4932.YGR227W
Q08110	4932.YOL014W
P07263	4932.YPR033C
P40076	4932.YER121W
P07261	4932.YPL075W
Q96EQ0	9606.ENSP00000370395
Q03904	4932.YDR133C
P38870	4932.YHR182W
Q05946	4932.YLR222C
P38737	4932.YHL030W
P23394	4932.YDR243C
P25649	4932.YCR082W
Q99247	4932.YOL087C
Q05580	4932.YDR266C
P87269	4932.YDR433W
P07283	4932.YFL045C
Q12015	4932.YOR223W
P53959	4932.YNL041C
P53397	4932.YML060W
P53740	4932.YNR048W
Q12041	4932.YDR253C
O43639	9606.ENSP00000233154
Q06214	4932.YPR169W
Q03220	4932.YMR180C
P38110	4932.YBL088C
P33401	4932.YKL127W
P53214	4932.YGR023W
P38636	4932.YNL259C
Q04734	4932.YMR063W
Q04951	4932.YMR305C
O75586	9606.ENSP00000481920
Q08471	4932.YOR066W
P46680	4932.YMR092C
Q05636	4932.YDR280W
P04456	4932.YOL127W
P36025	4932.YOR062C
P43355	9606.ENSP00000349085
Q12450	4932.YOR016C
P38907	4932.YDR254W
Q03776	4932.YDR235W
